,sentiment,emotion,Text
4148,negative,anger,"@sdghosh @Lenovo_in @Lenovo @Dell @ASUSIndia @cromaretail @TataCompanies ਬਿਲਕੁਲ ਹਰ ਵਾਰ ਜਦੋਂ ਤੁਸੀਂ ਕੋਈ ਚੀਜ਼ ਖਰੀਦਦੇ ਹੋ, ਅੰਤਮ ਨਤੀਜਾ ਤੁਹਾਡਾ ਨੁਕਸਾਨ ਹੁੰਦਾ ਹੈ, ਅਜਿਹਾ ਲਗਦਾ ਹੈ ਕਿ ਉਹਨਾਂ ਨੇ ਮੈਨੂੰ ਖਰਾਬ ਪੁਰਾਣਾ ਉਤਪਾਦ ਦਿੱਤਾ ਹੈ, ਕਿਉਂਕਿ ਸਿਸਟਮ ਦੀ ਵਾਰੰਟੀ 4 ਮਹੀਨੇ ਪਹਿਲਾਂ ਹੀ ਕਿਰਿਆਸ਼ੀਲ ਸੀ ਜਦੋਂ ਮੈਂ ਲਾਗਇਨ ਕੀਤਾ"
11363,negative,anger,@Dell @voguemagazine ਤੁਸੀਂ ਇੱਕ ਕੰਪਨੀ ਦਾ ਕਿੰਨਾ ਮਜ਼ਾਕ ਕਰਦੇ ਹੋ। ਮੈਨੂੰ ਗਲਤ ਕੰਪਿਊਟਰ ਭੇਜੋ ਅਤੇ ਕੰਪਿਊਟਰ 'ਤੇ ਤੁਹਾਡੀ ਗਲਤੀ ਲਈ ਭੁਗਤਾਨ ਵੀ ਨਹੀਂ ਕਰੋਗੇ ਜੋ ਮੈਂ ਇਸ ਸਮੇਂ ਵਾਪਸ ਨਹੀਂ ਕਰ ਸਕਦਾ ਹਾਂ। ਭਿਆਨਕ.
5625,negative,anger,"@EbikeNuggs @Dell ਬੱਸ ਸਵਾਰੀ ਕਰਦੇ ਸਮੇਂ ਇਸਦੀ ਵਰਤੋਂ ਕਰਨ ਦੀ ਕੋਸ਼ਿਸ਼ ਨਾ ਕਰੋ, ਉਸ ਬਲੌਕ ਨੂੰ ਗੂੰਜਦੇ ਹੋਏ ਜਿਸ ਨੇ ਆਪਣੇ iMac ਨੂੰ ਇੱਕ ਜਹਾਜ਼ ਵਿੱਚ ਵਰਤਿਆ ਸੀ।"
21859,neutral,anticipation,@NYPost_Berman ਜੂਲੀਅਸ ਰੈਂਡਲ ਸਪੱਸ਼ਟ ਤੌਰ 'ਤੇ @Dell ਕੰਪਿਊਟਰਾਂ ਦਾ ਮੁੰਡਾ ਹੈ।
4832,negative,anger,HP ਉਤਪਾਦ ਦੁਆਰਾ ਸਭ ਤੋਂ ਮਾੜੀ ਗਾਹਕ ਸੇਵਾ ਉਹ ਸੇਵਾ ਲਈ ਚਾਰਜ ਕਰ ਰਹੇ ਹਨ ਜਦੋਂ ਉਤਪਾਦ ਵਾਰੰਟੀ ਦੇ ਅਧੀਨ ਹੈ @HPSupport @HP @Dell @Lenovo https://t.co/yyURmI2meQ
6993,positive,anticipation,ਕਿਨਾਰੇ ਲਈ ਤਿਆਰ ਹੋ? ਇਸ ਬਾਰੇ ਚਰਚਾ ਕਰਨ ਲਈ ਸਾਡੇ ਨਾਲ ਸੰਪਰਕ ਕਰੋ ਕਿ Tahill Inc ਦੇ ਮਾਹਰ @Dell ਤੋਂ #Edge ਤਕਨਾਲੋਜੀ ਹੱਲਾਂ ਨਾਲ ਡੇਟਾ ਸੁਰੱਖਿਆ ਅਤੇ ਨਵੀਨਤਾ ਨੂੰ ਅੱਗੇ ਵਧਾਉਣ ਵਿੱਚ ਤੁਹਾਡੀ ਮਦਦ ਕਿਵੇਂ ਕਰ ਸਕਦੇ ਹਨ।
4352,positive,joy,@EmilBrunner1 @Windows @Dell Skynet ਤੁਹਾਨੂੰ ਪਿਆਰ ਕਰਦਾ ਹੈ ਅਤੇ ਜਿਮ ਤੁਹਾਡੇ ਨਾਲ ਵੱਧ ਤੋਂ ਵੱਧ ਸਮਾਂ ਬਿਤਾਉਣਾ ਚਾਹੁੰਦਾ ਹੈ।
4531,negative,disgust,"@Dell

@DellCares

@Dell
ਜੇ ਤੁਸੀਂ ਉਮੀਦ ਕਰਦੇ ਹੋ ਕਿ ਤੁਹਾਡਾ ਲੈਪਟਾਪ ਕੁਝ ਹਫ਼ਤਿਆਂ ਤੋਂ ਅੱਗੇ ਕੰਮ ਕਰੇਗਾ, ਤਾਂ ਐਪਲ ਜਾਂ ਐਚਪੀ ਜਾਂ ਅਸੁਸ ਜਾਂ ਲੇਨੋਵੋ ਖਰੀਦੋ। ਡੇਲ ਨਹੀਂ।"
3081,positive,joy,"ਦੇਖੋ ਕਿ ਕਿਵੇਂ @Dell Technologies #SAP ਇੰਟੈਲੀਜੈਂਟ ਐਂਟਰਪ੍ਰਾਈਜ਼ ਨੂੰ ਪ੍ਰਮਾਣਿਤ ਹੱਲਾਂ ਨਾਲ ਇੱਕ ਹਕੀਕਤ ਬਣਾਉਂਦਾ ਹੈ ਜੋ ਕਲਾਉਡ ਮੋਮੈਂਟਮ ਨੂੰ ਅੱਗੇ ਵਧਾਉਂਦਾ ਹੈ, ਡਾਟਾ ਸਰੋਤਾਂ ਨੂੰ ਪੁੱਟਦਾ ਹੈ, ਅਤੇ ਰੀਅਲ-ਟਾਈਮ ਇੰਟੈਲੀਜੈਂਸ ਨੂੰ ਸਮਰੱਥ ਬਣਾਉਂਦਾ ਹੈ। #iwork4dell #SAP4U
https://t.co/dWXOjScnat https://t.co/WClFq7fKcI"
19234,neutral,anticipation,ਵਿਗਿਆਨੀਆਂ ਨੇ ਹੁਣੇ ਹੀ ਇੱਕ ਅੰਡਰਸੀ ਡਰੋਨ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹੋਏ ਦੁਨੀਆ ਦੇ ਸਭ ਤੋਂ ਭੈੜੇ ਸਮੁੰਦਰੀ ਜਹਾਜ਼ਾਂ ਵਿੱਚੋਂ ਇੱਕ ਲੱਭਿਆ ਹੈ https://t.co/ufNeqeDPAy #paul'sfeed 2 #feedly @Dell @Cisco @HPE @Mimecast @PaloAltoNtwks @Fortinet @nutanix @Cohesity @Hrubita @In
16873,positive,joy,"@DineenBarry @Dell @Alienware ਫੇਅਰ ਕਾਫੀ। ਯਕੀਨੀ ਤੌਰ 'ਤੇ ਉਤਸ਼ਾਹ ਨਾਲ ਸਿਫਾਰਸ਼ ਕਰ ਸਕਦਾ ਹੈ. ਮੈਟਾਬਾਕਸ ਜੋ ਮੈਂ ਪਿਛਲੇ ਜੂਨ ਵਿੱਚ ਖਰੀਦਿਆ ਸੀ ਉਹ ਸਭ ਤੋਂ ਵਧੀਆ, ਸਭ ਤੋਂ ਤੇਜ਼, ਸਭ ਤੋਂ ਮੁਸ਼ਕਲ ਰਹਿਤ ਕੰਪਿਊਟਰ ਹੈ ਜੋ ਮੇਰੇ ਕੋਲ ਹੈ"
8215,neutral,anticipation,"ਕੋਏਨਿਗ, ਐਸ., ਲਿਊ, ਵਾਈ., ਝੂ, ਜੀ.: ਹੋਚਚਾਈਲਡ (ਸਹਿ) ਸਮਰੂਪਤਾ ਵਿੱਚ ਨਕਸ਼ੇ ਅਤੇ ਐਪਲੀਕੇਸ਼ਨਾਂ ਨੂੰ ਸਥਾਈ ਅਤੇ ਵਿਉਤਪਤ ਇਨਵੈਰੀਐਂਟਸ ਵਿੱਚ ਟ੍ਰਾਂਸਫਰ ਕਰੋ ਅਤੇ ਔਸਲੈਂਡਰ-ਰੀਟੇਨ ਅਨੁਮਾਨ ਵਿੱਚ. ਟ੍ਰਾਂਸ. ਆਮੇਰ. ਗਣਿਤ. ਸੋਕ. 364(1), 195–232 (2012)। MR2833582 @Dell @OracleSustainab 🌉🌉🌉"
5938,neutral,sadness,@YasinYtbd @t3mporarybl1p @Dell @Apple ਕਾਮਨ ਯਾਸੀਨ ਐੱਲ.
8976,negative,anger,"@Dell ਮੈਨੂੰ 100% ਯਕੀਨ ਹੈ ਕਿ ਉਨ੍ਹਾਂ ਨੇ ਬਲੇਸੀ ਫੋਰਡ ਨੂੰ ਉਸ ਨੂੰ ਤਬਾਹ ਕਰਨ ਲਈ ਭੁਗਤਾਨ ਕੀਤਾ ਸੀ.. ਮੈਂ ਇਹ ਵੀ ਮੰਨਦਾ ਹਾਂ ਕਿ ਜੱਜ ਰਾਏ ਮੂਰ ਨੂੰ ਦੋਸ਼ੀ ਠਹਿਰਾਉਣ ਵਾਲੀ ਲੜਕੀ ਨੂੰ ਭੁਗਤਾਨ ਕੀਤਾ ਗਿਆ ਸੀ, ਅਤੇ ਟਰੰਪ 'ਤੇ ਦੋਸ਼ ਲਗਾਉਣ ਵਾਲੇ ਸਾਰੇ ਸ਼ੌਕੀਨ.. ਮੇਰਾ ਮੰਨਣਾ ਹੈ ਕਿ ਉਨ੍ਹਾਂ ਨੇ ਸਕੈਲੀਆ ਨੂੰ ਮਾਰਿਆ..."
18012,neutral,optimism,@KanikaTolver @Dell @virtualized6ix ਇਮਾਨਦਾਰੀ ਨਾਲ ਮੈਂ ਇਸ ਤਰ੍ਹਾਂ ਦਾ ਕਦੇ ਨਹੀਂ ਦੇਖਿਆ। ਰੱਬ ਅਜੇ ਵੀ ਇਨਸਾਨਾਂ ਰਾਹੀਂ ਕੰਮ ਕਰ ਰਿਹਾ ਹੈ
5259,negative,fear,"@Dell
 ਸਰਗਰਮ ਨਿਸ਼ਾਨੇਬਾਜ਼ ਬਾਹਰ ਚਲੇ ਗਏ"
13332,negative,anger,ਅੱਜ ਮੈਂ ਜਿਆਦਾਤਰ @Dell ਨੂੰ ਬਾਕਸ ਵਿੱਚੋਂ 5 R740 ਅਸਫਲਤਾਵਾਂ ਦੀ ਰਿਪੋਰਟਿੰਗ ਬੰਦ ਕਰ ਰਿਹਾ ਹਾਂ...!
10569,negative,anger,"ਮੈਂ ਕਈ ਵਾਰ ਕੋਸ਼ਿਸ਼ ਕੀਤੀ ਹੈ ਪਰ ਇਹ ਮੇਰੀ ਸਮੱਸਿਆ ਦਾ ਹੱਲ ਨਹੀਂ ਕਰ ਰਿਹਾ ਹੈ ਕਿ ਸੇਵਾ ਜ਼ਰੂਰੀ ਨਹੀਂ ਹੈ, ਡੇਲ ਲੈਪਟਾਪ ਨਾ ਖਰੀਦੋ @ ਮਾਈਕਲਡੇਲ @ ਡੇਲ @ ਡੇਲ_IN https://t.co/jCoaOZu7at"
17297,positive,joy,@ArtificialLawya @Dell @onendaclub ਮਿਆਰਾਂ ਬਾਰੇ ਸਭ ਤੋਂ ਵੱਡੀ ਗੱਲ ਇਹ ਹੈ ਕਿ ਚੁਣਨ ਲਈ ਬਹੁਤ ਸਾਰੇ ਹਨ ???
6003,neutral,anticipation,"@angeDElom @t3mporarybl1p @Dell @Apple ਉਸ ਨੇ ਕਿਹਾ ਕਿ amd 5nm ਦੇ ਨਾਲ 7800u ਦੇ ਨਾਲ ਆਵੇਗਾ ਤਾਂ ਕਿ ਇਹ m2 ਕਿੱਥੇ ਖੜ੍ਹਾ ਹੋਵੇਗਾ।

ਇੰਟੇਲ ਦੇ ਨਾਲ ਵੀ, 10nm ਅਤੇ 12700h ਦੀ ਵਰਤੋਂ ਕਰਨ ਵਾਲੇ Intel ਦਾ ਅਜੇ ਵੀ ਪ੍ਰਤੀ ਵਾਟ m1 ਪ੍ਰੋ ਜਾਂ ਅਧਿਕਤਮ 5nm 35 ਤੋਂ 40 ਵਾਟ ਦੇ ਬਰਾਬਰ ਪ੍ਰਦਰਸ਼ਨ ਹੈ।
https://t.co/i8PLdQ0Np3 https://t.co/cgpg4MBFeV"
2306,positive,joy,@Dell ਮੈਨੂੰ ਤੁਹਾਡੀ ਡਿਵਾਈਸ ਪਸੰਦ ਹੈ
14355,negative,anger,@MichaelDell @elonmusk @Twitter @Dell @emc ਸਿਰਫ਼ ਕੰਪਿਊਟਰ ਬਣਾਉਣ ਨਾਲ ਜੁੜੇ ਰਹੋ ਨਾ ਕਿ ਕਿਰਪਾ ਕਰਕੇ ਪ੍ਰਚਾਰ ਕਰੋ।
8075,neutral,anger,"ਨੂੰ - @DellCares

CC-
@AlokOhrie
@Dell_IN
@Dell
@DellTechIndia
@JClarkeatDell
@WendyThomasSCWX
@ChuckatDell
@EliasatDel
@BillScannell2

ਸੁਨੇਹਾ - ਉਹਨਾਂ ਨੇ ਹਰ 2 ਦਿਨਾਂ ਬਾਅਦ ਵਿੰਡੋ ਨੂੰ ਮੁੜ ਸਥਾਪਿਤ ਕਰਨ ਲਈ ਕੀ ਕਿਹਾ ਜੋ 2 ਦਿਨ 'ਤੇ ਕੀਤਾ ਗਿਆ ਹੈ ਪਰ @DellCares ਸਪੱਸ਼ਟ ਤੌਰ 'ਤੇ ਮੁੱਦੇ ਨੂੰ ਨਹੀਂ ਸਮਝ ਰਿਹਾ ਹੈ। https://t.co/7XM3998yK3"
744,positive,joy,@Dell : @Cinnabon ਇਹ ਇੱਕ ਉੱਚ ਪੱਧਰੀ ਸਟੱਡੀ ਸਨੈਕ ਹੈ ✨ https://t.co/4kiKS1kX40 https://t.co/HegD7HPeFz
14805,neutral,anticipation,"@MichaelDell @elonmusk @Twitter @Dell @emc 🧵 37 'ਤੇ … @elonmusk, ਸੰਪਾਦਨ ਵਿਸ਼ੇਸ਼ਤਾ ਲਈ ਕੋਈ ਯੋਜਨਾ ਹੈ?"
18003,positive,joy,@editorielle @Dell ਬਸ ਤੁਹਾਨੂੰ DMed. ਬਹੁਤ ਬਹੁਤ ਧੰਨਵਾਦ!
12938,negative,anger,@AnsgarTOdinson @Dell @Alienware ਮੈਂ ਛੋਟੇ-ਛੋਟੇ ਦਾਅਵਿਆਂ ਦੀ ਗੱਲ ਕਰਾਂਗਾ ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਇਸ 'ਤੇ ਸਮਾਂ ਅਤੇ ਸਰੋਤ ਬਿਤਾਉਣ ਲਈ ਕਰਾਂਗਾ
8503,negative,disgust,"@thomasthecat @Dell ਸਹਾਇਤਾ ਬੇਕਾਰ ਤੋਂ ਵੀ ਘੱਟ ਸੀ।
ਮੈਂ ਇਸਨੂੰ ਆਪਣੇ ਆਪ ਠੀਕ ਕਰ ਲਿਆ, ਪਰ ਆਦਮੀ ਇਹ ਤੰਗ ਕਰਨ ਵਾਲਾ ਸੀ.

ਪੋਰਟਾਂ ਅਤੇ ਉਸ ਟਰੈਕ ਪੈਡ ਦਾ ਖਾਕਾ ਇਸ ਤੋਂ ਵੀ ਮਾੜਾ ਹੈ। ਦੋਵੇਂ ਨਿਰਾਸ਼!
ਸ਼ਰਮਨਾਕ ਹੈ, ਕਿਉਂਕਿ ਇਹ ਇੱਕ ਵਧੀਆ ਅੰਦਾਜ਼ਾ ਹੈ ਅਤੇ ਸਕ੍ਰੀਨ ਅਸਲ ਵਿੱਚ ਬਹੁਤ ਠੋਸ ਹੈ .."
11386,negative,anger,"ਹੇ @apple ਕੀ ਤੁਸੀਂ @microsoft ਨੂੰ ਖਰੀਦ ਸਕਦੇ ਹੋ?

ਮੌਜੂਦਾ ਸਥਿਤੀ: ਪੂਰੀ MS ਐਪਲੀਕੇਸ਼ਨ ਪਹੁੰਚਯੋਗਤਾ ਲਈ ਇੱਕ @Dell ਖਰੀਦਿਆ ਅਤੇ ਪੂਰੀ ਤਰ੍ਹਾਂ ਇਮਾਨਦਾਰ ਹੋਣ ਲਈ, ਮੈਂ ਇਹ ਨਹੀਂ ਸਮਝ ਸਕਦਾ ਕਿ ਡੈੱਲ ਇੱਕ ਕੰਮ ਕਰਨ ਵਾਲੀ ਕੰਪਨੀ ਹੈ। ਗਾਹਕ ਸਹਾਇਤਾ ਦੀ ਅਯੋਗਤਾ ਮੇਰੇ ਦਿਮਾਗ ਨੂੰ ਉਡਾ ਦਿੰਦੀ ਹੈ।"
12069,positive,anticipation,@Dell ਮੈਂ ਉਸਨੂੰ ਹਰ ਜਗ੍ਹਾ ਵੇਖਦਾ ਹਾਂ 🤤
23192,negative,anger,@SpikingTDs @BestBuy ਬਿਲਕੁਲ ਸਹੀ। ਅਤੇ @Dell ਨੇ ਉਹਨਾਂ ਨੂੰ ਵਿੰਡੋਜ਼ ਐਂਟਰਪ੍ਰਾਈਜ਼ (ਬਿਜ਼ਨਸ) ਨਾਲ ਭਰਿਆ ਇੱਕ ਕੰਪਿਊਟਰ ਵੇਚਿਆ ਅਤੇ ਜੋ ਕਿਸੇ ਹੋਰ ਦੀ ਡੈਸਕਟੌਪ ਜਾਣਕਾਰੀ ਦਿਖਾਈ ਦਿੱਤੀ। ਇਸ ਲਈ ਹੁਣ ਮੈਂ ਵਰਤੀ ਗਈ ਬਕਵਾਸ ਦੇ ਇੱਕ ਟੁਕੜੇ ਨਾਲ ਫਸਿਆ ਹੋਇਆ ਹਾਂ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਕੁਝ ਨਹੀਂ ਕੀਤਾ.
4993,negative,disgust,"@MichaelDell @Dell @DellCares
ਹੈਲੋ ਮਾਈਕ,
ਮੈਂ ਡੈਲ ਚਾਰਜਰ ਨੂੰ ਬਦਲਣ ਦੀ ਬੇਨਤੀ ਕੀਤੀ ਹੈ ਪਰ ਅਜਿਹਾ ਲਗਦਾ ਹੈ ਕਿ ਹੋਰ ਪੁਰਜ਼ੇ ਵੀ ਆਰਡਰ ਕੀਤੇ ਗਏ ਹਨ ਜੋ ਲੋੜੀਂਦੇ ਨਹੀਂ ਹਨ ਅਤੇ ਇਸਦੇ ਕਾਰਨ ਦੇਰੀ ਹੋ ਰਹੀ ਹੈ।
ਪਹਿਲਾਂ ਇਹ 03 ਅਗਸਤ ਸੀ ਪਰ ਹੁਣ ਮੈਂ 18 ਅਗਸਤ ਨੂੰ ਮੁੜ ਤਹਿ ਕਰ ਦਿੱਤਾ ਹੈ।
ਕੀ ਤੁਸੀਂ ਕਿਰਪਾ ਕਰਕੇ ਟੀਮ ਸਹਾਇਤਾ ਟੀਮ ਨੂੰ ਇਸਦੀ ਜਾਂਚ ਕਰਨ ਲਈ ਕਹਿ ਸਕਦੇ ਹੋ? https://t.co/y2Ubrcq22V"
48,neutral,optimism,@Dell ਜੇਕਰ ਤੁਸੀਂ Dell ਖਰੀਦੋਗੇ ਤਾਂ ਕੁਝ ਵੀ ਤੁਹਾਡਾ ਮੂਡ ਨਹੀਂ ਬਦਲ ਸਕਦਾ।
2363,neutral,anticipation,@Dell ਓਲਡ ਸਕੂਲ ਬਾਹਰੀ ਸਟੋਰੇਜ ਡਿਵਾਈਸ
1534,negative,anger,"@ ਮਾਈਕਲਡੇਲ
@Dell

@ਨਿਊਯਾਰਕ
@ਇੰਡੀਅਨ ਐਕਸਪ੍ਰੈਸ

ਕੀ ਧੋਖਾ ਹੈ !!!!

ਹਰ ਵਾਰ ਜਦੋਂ ਤੁਹਾਡੇ ਲੋਕ ਕਾਲ ਟ੍ਰਾਂਸਫਰ ਕਰਦੇ ਹਨ ਤਾਂ ਇਹ ਇੱਕ ਅਯੋਗ ਨੰਬਰ 'ਤੇ ਜਾਂਦਾ ਹੈ !!!

ਤੁਹਾਡੀ ਗਾਹਕ ਸੇਵਾ 'ਤੇ ਸ਼ਰਮ ਕਰੋ.
ਕਦੇ ਵੀ ਇਸ ਬ੍ਰਾਂਡ ਦੀ ਸਿਫ਼ਾਰਿਸ਼ ਨਹੀਂ ਕਰੇਗਾ।

ਇੱਕ ਸਧਾਰਨ ਪੇਸ਼ਕਸ਼ ਲਈ ਇਹ ਸਭ ਗੜਬੜ."
9956,positive,optimism,"""ਇੰਟਰਓਪਰੇਬਿਲਟੀ ਅਤੇ ਸਿਸਟਮ ਏਕੀਕਰਣ OpenRAN ਦੀ ਸਫਲਤਾ ਦੀ ਕੁੰਜੀ ਹੈ, ਅਤੇ ਇਸ ਲਈ ਸਹਿਯੋਗ ਦੀ ਲੋੜ ਹੈ.""

@Dell #OpenRAN ਦੇ ਭਵਿੱਖ ਲਈ ਸਾਡੇ ਦ੍ਰਿਸ਼ਟੀਕੋਣ ਨੂੰ ਸਾਂਝਾ ਕਰਦਾ ਹੈ।"
2148,negative,disgust,"ਮੇਰੇ @Dell Latitude 5590 ਲੈਪਟਾਪ 'ਤੇ @Google ਦੀ ਵੈੱਬਸਾਈਟ ਤੋਂ ਸਕਰੀਨ ਦੁਬਾਰਾ ਕੰਮ ਕਰਦੀ ਰਹਿੰਦੀ ਹੈ, ਬਿਨਾਂ ਕਿਸੇ ਚਿੱਤਰ ਦੇ, ਸਾਰੇ ਵੀਡੀਓ @YouTube 'ਤੇ ਅੰਨ੍ਹੇ ਹਨ, ਇਹ ਇੱਕੋ ਸਮੇਂ ਕੰਮ ਨਹੀਂ ਕਰ ਰਿਹਾ ਹੈ, ਇਹ ਮਰ ਗਿਆ ਹੈ!! #DellLatitude #Laptop #Google #YouTube #Blind #videos #dead #freezing #actingup"
18194,negative,disgust,"@straczynski @Dell @DellCares ਇਹ ਬਹੁਤ ਭਿਆਨਕ ਹੈ। ਹਰ ਮੁੱਦੇ ਦੀ ਮੈਂ ਰਿਪੋਰਟ ਕੀਤੀ ਹੈ, ਉਹ ਇਸ ਨੂੰ ਪੂਰਾ ਕਰ ਚੁੱਕੇ ਹਨ।"
23000,positive,joy,@Kayla_Grey @theshift_sports @TSN_Sports @Dell Amazing!! #bigups
21456,negative,anger,"@Dell ਤੋਂ ਇੱਕ ਆਰਡਰ ਆ ਰਿਹਾ ਸੀ, ਜੋ ਕੱਲ੍ਹ ਡਿਲੀਵਰ ਕੀਤਾ ਜਾਣਾ ਸੀ. ਸਾਰਾ ਦਿਨ ਇੱਥੇ ਇੰਤਜ਼ਾਰ ਕੀਤਾ, ਸਿਰਫ 8:30PM 'ਤੇ ਇੱਕ ਈਮੇਲ ਪ੍ਰਾਪਤ ਕਰਨ ਲਈ, ਕਿ ਇੱਕ ਦੇਰੀ ਹੋਈ ਸੀ। ਕੋਈ ਚੰਗਾ ਡੈਲ ਨਹੀਂ, ਚੰਗਾ ਨਹੀਂ !! ਹੁਣ ਮੈਨੂੰ ਆਪਣਾ ਆਰਡਰ ਡਿਲੀਵਰ ਹੋਣ ਲਈ ਬੁੱਧਵਾਰ ਤੱਕ ਉਡੀਕ ਕਰਨੀ ਪਵੇਗੀ।
🙄🙄🙄🙄"
9686,negative,anger,"@Dell ਤੁਹਾਡੇ PC's fucking ਭਿਆਨਕ ਹਨ, ਧੰਨਵਾਦ!"
11787,neutral,anticipation,"@Dell Inspiron ਦੀ ਕੀਮਤ ਕੀ ਹੈ?
ਕੀ ਇਹ ਇਸ ਸਮੇਂ ਉਪਲਬਧ ਹੈ?"
3570,negative,disgust,@MSkuta @Dell Dell XPS 15 9530 ਸਭ ਤੋਂ ਵੱਧ ਸਮੱਸਿਆ ਵਾਲਾ ਲੈਪਟਾਪ ਹੈ ਜਿਸ ਦਾ ਕੋਈ ਵੀ ਮਾਲਕ ਹੋ ਸਕਦਾ ਹੈ। ਬਹੁਤ ਮਹਿੰਗਾ ਅਤੇ ਸਮੱਸਿਆਵਾਂ ਨਾਲ ਭਰਿਆ।
18257,positive,optimism,@akikigate @Dell ਇਸਦੀ ਵਰਤੋਂ ਕਰਨ ਵਿੱਚ ਕੁਝ ਸਮਾਂ ਲੱਗੇਗਾ... ਪਰ ਟੱਚਸਕ੍ਰੀਨ ਆਸਾਨੀ ਨਾਲ ਚੱਲਦੀ ਹੈ।
12233,neutral,anticipation,@neilphillips @Dell ਇਸਨੂੰ ਅਜ਼ਮਾਓ 🤷🏻‍♂️ https://t.co/V2UzF22V48
17407,negative,sadness,@HabibMo83997618 @Dell @consumerforum_ ਬਹੁਤ ਮੰਦਭਾਗਾ। ਵਿਗਿਆਨਕ ਕੰਮਾਂ ਨਾਲ ਜੁੜੇ ਲੋਕਾਂ ਨੂੰ ਇਸ ਵਿਰੁੱਧ ਬੋਲਣ ਦੀ ਲੋੜ ਹੈ।
7712,neutral,anticipation,@Neurrone @Dell @FreedomSci @NVAccess ਹੈਲੋ। Pr 'ਤੇ ਕੋਈ ਅੱਪਡੇਟ ਜੋ ਤੁਸੀਂ @NVAccess/#NVDAsr ਦੇ ਨਾਲ ਉਪਭੋਗਤਾਵਾਂ ਨੂੰ ਡੇਲ ਮਸ਼ੀਨਾਂ ਨਾ ਖਰੀਦਣ ਦੀ ਚੇਤਾਵਨੀ ਦੇਣ ਦੀ ਯੋਜਨਾ ਬਣਾਈ ਹੈ ਅਤੇ ਉਹਨਾਂ ਉਪਭੋਗਤਾਵਾਂ ਲਈ ਸਮੱਸਿਆਵਾਂ ਨੂੰ ਕੁਝ ਹੱਦ ਤੱਕ ਘੱਟ ਕਰਨ ਲਈ ਕਦਮ ਪ੍ਰਦਾਨ ਕਰਨ ਦੀ ਯੋਜਨਾ ਬਣਾਈ ਹੈ ਜੋ ਪਹਿਲਾਂ ਹੀ ਉਹਨਾਂ ਦੇ ਮਾਲਕ ਹਨ?
6440,positive,joy,@Dell + @OviaHealth ਸਭ ਤੋਂ ਪਿਆਰਾ ਹੈ। #iwork4dell https://t.co/oy3wfBX3lQ
7216,positive,joy,@GyanTherapy @YT_surya_007 @Dell_IN @DellTechIndia @DellCares @Dell ਤੁਹਾਡਾ ਬਹੁਤ ਬਹੁਤ ਧੰਨਵਾਦ ਸਰ। ਇਹ ਮੇਰੇ ਲਈ ਬਹੁਤ ਮਾਇਨੇ ਰੱਖਦਾ ਹੈ।
2470,neutral,anticipation,@Dell ਇਹ 100 ਬੀਸੀ ਤੋਂ ਇੱਕ ਲੈਪਟਾਪ ਹੈ
20386,negative,anger,ਹਰ ਚੰਗੇ ਵਿਅਕਤੀ ਨੂੰ ਟੈਕਸਾਸ ਵਿੱਚ ਵਹਿਣ ਤੋਂ ਆਪਣੇ $$ ਦਾ ਬਾਈਕਾਟ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ ਜਦੋਂ ਤੱਕ ਐਬੋਟ ਇਸ ਬੁਰਾਈ ਦੇ ਹੁਕਮ ਨੂੰ ਰੱਦ ਨਹੀਂ ਕਰਦਾ। @NBA &amp; @NHL ਨੂੰ ਟੀਮਾਂ ਨੂੰ ਖੇਡਣ ਲਈ TX ਦੀ ਯਾਤਰਾ ਕਰਨ ਤੋਂ ਰੋਕ ਦੇਣਾ ਚਾਹੀਦਾ ਹੈ। ਕਿਸੇ ਨੂੰ ਵੀ TX ਅਧਾਰਤ ਕੰਪਨੀਆਂ ਤੋਂ ਉਤਪਾਦ ਨਹੀਂ ਖਰੀਦਣੇ ਚਾਹੀਦੇ। @exxonmobil @ATT @Tesla @Dell @HP @AmericanAir ਆਪਣਾ ਹਿੱਸਾ ਬਣਾਓ। https://t.co/Ek086xdCFt
2570,positive,joy,"@GoI_MeitY, #ASSOCHAM &amp; @MSH_MeitY, @Dell ਨਵੀਨਤਾਕਾਰੀ ਤਕਨੀਕਾਂ, ਰਣਨੀਤਕ ਮਾਰਗਦਰਸ਼ਨ, ਵਿਹਾਰਕ ਸਮਰੱਥਾਵਾਂ ਅਤੇ ਮਾਹਰ ਸਲਾਹ-ਮਸ਼ਵਰੇ ਨਾਲ 5,000 ਤਕਨੀਕੀ ਸਟਾਰਟ-ਅਪਸ ਦਾ ਸਮਰਥਨ ਕਰਨ ਦਾ ਇਰਾਦਾ ਰੱਖਦਾ ਹੈ।

ਹੋਰ ਪੜ੍ਹੋ: https://t.co/IMW1hqJY3s https://t.co/82ls80r46J"
2669,negative,anger,@Dell ਇੱਕ ਨੁਕਸਦਾਰ ਡਿਵਾਈਸ ਨੂੰ ਹੋਰ ਨੁਕਸਦਾਰ @Dell ਵਿੱਚ ਅੱਪਗ੍ਰੇਡ ਕਰੋ
